REF_AREA,COUNTERPART_AREA,weight
AGO,JOR,0.00023239025208609342
AGO,JPN,0.01642238306847595
AGO,KAZ,0.0013886707365136834
AGO,KEN,0.00035484684094559574
AGO,KGZ,0.00010098169957610783
AGO,KHM,8.327314627530493e-05
AGO,KIR,1.3493587487929294e-07
AGO,KNA,2.270118067133675e-05
AGO,KOR,0.005563621397858476
AGO,KWT,0.0007575133856527106
AGO,LAO,7.172782101330535e-06
AGO,LBN,0.001110946777873759
AGO,LBR,9.923301097838254e-05
AGO,LBY,1.614446574435362e-05
AGO,LCA,6.933220710475822e-06
AGO,LKA,0.0003732687832357808
AGO,LSO,0.0001167848998940076
AGO,LTU,0.0003375449211946659
AGO,LUX,0.0038854916638109338
AGO,LVA,0.00034410035797398435
AGO,MAC,0.0007840260026599476
AGO,MAR,0.000630586384039934
AGO,MDA,9.433058431446628e-05
AGO,MDG,8.180565016379632e-05
AGO,MDV,1.8598144075379245e-05
AGO,MEX,0.003804337138586001
AGO,MKD,0.00015200462397769118
AGO,MLI,6.730214342829276e-05
AGO,MLT,0.0011947147498877957
AGO,MMR,9.667306379866985e-05
AGO,MNE,0.00013993909261619082
AGO,MNG,7.729835372077148e-05
AGO,MOZ,0.00014389897667371073
AGO,MRT,0.00018262867683696763
AGO,MSR,3.3439994756960374e-06
AGO,MUS,0.00041897315261235185
AGO,MWI,0.0002326794786433448
AGO,MYS,0.002264120633106225
AGO,NCL,4.385872414885815e-06
AGO,NER,4.918732176266383e-05
AGO,NGA,0.0015195320592306873
AGO,NIC,7.555477771370468e-05
AGO,NLD,0.024507192000710016
AGO,NOR,0.0032750094469803505
AGO,NPL,2.1005626497954995e-05
AGO,NZL,0.0010851333076390694
AGO,OMN,0.0004936575117664495
AGO,PAK,0.0004542673744456305
AGO,PAN,0.0004452339745296586
AGO,PER,0.0005909789616161294
AGO,PHL,0.0008574318489643772
AGO,PNG,0.0002081697190265691
AGO,POL,0.002305450085619321
AGO,PRK,4.1413810258961344e-05
AGO,PRT,0.028715178031779656
AGO,PRY,0.00010221547725751431
AGO,PSE,8.61891488758764e-06
AGO,PYF,2.0083351661669058e-05
AGO,QAT,0.0014286225284368414
AGO,ROU,0.0013401193845104303
AGO,RUS,0.003821255066259974
AGO,RWA,8.619079220858805e-05
AGO,SAU,0.005487636797344412
AGO,SCG_F,6.5256741979851835e-06
AGO,SDN,6.25423215252435e-05
AGO,SEN,0.00015041186939504972
AGO,SGP,0.009585630187802362
AGO,SLB,2.9421133314344355e-06
AGO,SLE,2.5304037094076017e-05
AGO,SLV,0.00013087593011888553
AGO,SOM,4.5249348807965984e-05
AGO,SRB,0.003015829676325106
AGO,STP,2.6619616226018245e-05
AGO,SUR,8.951014169360927e-05
AGO,SVK,0.000742851388606794
AGO,SVN,0.0004210276836869687
AGO,SWE,0.00630482306301529
AGO,SWZ,0.00016853782920461317
AGO,SYC,8.987003155746188e-05
AGO,SYR,0.00013311725334506054
AGO,TCA,2.7089609381551802e-05
AGO,TCD,0.00021541955517282395
AGO,TGO,0.000117785689515406
AGO,THA,0.003540214679615404
AGO,TJK,5.025603580281066e-05
AGO,TKM,0.00023562268752992037
AGO,TLS,4.64697972351557e-07
AGO,TON,1.4954327676067786e-07
AGO,TTO,0.00017869745980563992
AGO,TUN,0.00023136298654878503
