REF_AREA,TIME_PERIOD,Degree,Trend,Cycle
BTN,2018,0.025,0.024061631084055266,0.0009383689159447352
BTN,2019,0.03,0.031216271769648505,-0.001216271769648506
BTN,2020,0.04,0.0389874270202589,0.001012572979741104
BTN,2021,0.045,0.04675765012305288,-0.0017576501230528799
BTN,2022,0.065,0.05407150604195546,0.010928493958044544
BTN,2023,0.055,0.060192335721203194,-0.005192335721203194
BTN,2024,0.065,0.06613203913831978,-0.0011320391383197737
BWA,2005,0.275,0.27044402869128226,0.004555971308717766
BWA,2006,0.26,0.2719698624967369,-0.011969862496736872
BWA,2007,0.305,0.27422465171158644,0.03077534828841355
BWA,2008,0.245,0.27602217374574795,-0.03102217374574795
BWA,2009,0.29,0.2811002617352845,0.008899738264715462
BWA,2010,0.265,0.28823320101693983,-0.02323320101693982
BWA,2011,0.345,0.2976192350498121,0.04738076495018789
BWA,2012,0.25,0.3057392951302889,-0.05573929513028891
BWA,2013,0.33,0.3166552349467881,0.013344765053211916
BWA,2014,0.365,0.32551062096688105,0.03948937903311894
BWA,2015,0.31,0.3295841820666533,-0.0195841820666533
BWA,2016,0.305,0.33247294776748976,-0.027472947767489764
BWA,2017,0.36,0.3346404784601106,0.025359521539889407
BWA,2018,0.36,0.33215466289243756,0.02784533710756243
BWA,2019,0.315,0.3251409132587751,-0.010140913258775086
BWA,2020,0.325,0.31817989569063754,0.006820104309362474
BWA,2021,0.29,0.31422973019813505,-0.02422973019813507
BWA,2022,0.29,0.3173397534808759,-0.027339753480875917
BWA,2023,0.335,0.32768254540676656,0.007317454593233463
BWA,2024,0.36,0.34105632528677354,0.018943674713226444
CAF,2005,0.015,0.013491123341819932,0.001508876658180067
CAF,2006,0.015,0.018810303954202835,-0.003810303954202836
CAF,2007,0.025,0.02437090483189455,0.0006290951681054528
CAF,2008,0.03,0.02980469760753143,0.00019530239246856942
CAF,2009,0.035,0.03484410914064671,0.00015589085935329566
CAF,2010,0.04,0.0392528146735686,0.0007471853264314002
CAF,2011,0.04,0.042819431986121856,-0.002819431986121855
CAF,2012,0.055,0.04545212851036024,0.009547871489639759
CAF,2013,0.045,0.046607962560558026,-0.001607962560558028
CAF,2014,0.045,0.04727165188933182,-0.002271651889331823
